altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
1.251000e+02	8.194397e-09	1.341238e+17	2.052074e+16	3.133746e+16	2.264073e+13	3.858236e+12	4.855357e+14	6.040230e+11	2.582834e-29	1.275741e+13	4.608356e+02
1.252000e+02	8.120180e-09	1.328909e+17	2.029570e+16	3.116809e+16	2.257026e+13	3.836153e+12	4.793526e+14	6.103446e+11	2.931964e-29	1.272371e+13	4.619175e+02
1.253000e+02	8.046858e-09	1.316730e+17	2.007367e+16	3.100000e+16	2.250032e+13	3.814272e+12	4.732666e+14	6.167221e+11	3.327881e-29	1.269111e+13	4.629946e+02
1.254000e+02	7.974457e-09	1.304702e+17	1.985483e+16	3.083340e+16	2.243112e+13	3.792602e+12	4.672740e+14	6.231556e+11	3.776224e-29	1.265876e+13	4.640671e+02
1.255000e+02	7.902973e-09	1.292829e+17	1.963897e+16	3.066817e+16	2.236242e+13	3.771141e+12	4.613747e+14	6.296442e+11	4.284379e-29	1.262645e+13	4.651351e+02
1.256000e+02	7.832381e-09	1.281103e+17	1.942613e+16	3.050441e+16	2.229436e+13	3.749873e+12	4.555674e+14	6.361881e+11	4.859877e-29	1.259419e+13	4.661984e+02
1.257000e+02	7.762635e-09	1.269516e+17	1.921624e+16	3.034197e+16	2.222684e+13	3.728803e+12	4.498484e+14	6.427876e+11	5.511628e-29	1.256201e+13	4.672571e+02
1.258000e+02	7.693767e-09	1.258077e+17	1.900927e+16	3.018072e+16	2.215992e+13	3.707933e+12	4.442162e+14	6.494464e+11	6.250021e-29	1.252983e+13	4.683114e+02
1.259000e+02	7.625770e-09	1.246783e+17	1.880509e+16	3.002101e+16	2.209359e+13	3.687256e+12	4.386728e+14	6.561590e+11	7.085769e-29	1.249771e+13	4.693611e+02
1.260000e+02	7.558587e-09	1.235623e+17	1.860380e+16	2.986247e+16	2.202777e+13	3.666776e+12	4.332131e+14	6.629292e+11	8.032169e-29	1.246564e+13	4.704062e+02
1.261000e+02	7.492221e-09	1.224599e+17	1.840521e+16	2.970530e+16	2.196251e+13	3.646476e+12	4.278341e+14	6.697572e+11	9.102960e-29	1.243359e+13	4.714470e+02
1.262000e+02	7.426659e-09	1.213709e+17	1.820928e+16	2.954938e+16	2.189784e+13	3.626360e+12	4.225392e+14	6.766419e+11	1.031430e-28	1.240161e+13	4.724832e+02
1.263000e+02	7.361897e-09	1.202951e+17	1.801611e+16	2.939470e+16	2.183367e+13	3.606435e+12	4.173220e+14	6.835849e+11	1.168513e-28	1.236966e+13	4.735150e+02
1.264000e+02	7.297913e-09	1.192324e+17	1.782544e+16	2.924124e+16	2.177003e+13	3.586691e+12	4.121862e+14	6.905852e+11	1.323533e-28	1.233772e+13	4.745424e+02
1.265000e+02	7.234708e-09	1.181825e+17	1.763744e+16	2.908910e+16	2.170693e+13	3.567118e+12	4.071255e+14	6.976444e+11	1.498993e-28	1.230583e+13	4.755653e+02
1.266000e+02	7.172257e-09	1.171453e+17	1.745186e+16	2.893815e+16	2.164439e+13	3.547734e+12	4.021401e+14	7.047613e+11	1.697254e-28	1.227401e+13	4.765838e+02
1.267000e+02	7.110536e-09	1.161201e+17	1.726880e+16	2.878838e+16	2.158232e+13	3.528511e+12	3.972288e+14	7.119374e+11	1.921415e-28	1.224220e+13	4.775980e+02
1.268000e+02	7.049552e-09	1.151072e+17	1.708822e+16	2.863977e+16	2.152073e+13	3.509466e+12	3.923917e+14	7.191728e+11	2.174891e-28	1.221042e+13	4.786080e+02
1.269000e+02	6.989318e-09	1.141068e+17	1.691001e+16	2.849243e+16	2.145968e+13	3.490592e+12	3.876262e+14	7.264670e+11	2.461280e-28	1.217867e+13	4.796134e+02
1.270000e+02	6.929762e-09	1.131175e+17	1.673414e+16	2.834633e+16	2.139910e+13	3.471885e+12	3.829296e+14	7.338224e+11	2.784998e-28	1.214697e+13	4.806146e+02
1.271000e+02	6.870930e-09	1.121405e+17	1.656064e+16	2.820124e+16	2.133905e+13	3.453351e+12	3.783021e+14	7.412367e+11	3.150596e-28	1.211529e+13	4.816115e+02
1.272000e+02	6.812774e-09	1.111745e+17	1.638940e+16	2.805738e+16	2.127948e+13	3.434974e+12	3.737440e+14	7.487101e+11	3.563616e-28	1.208364e+13	4.826041e+02
