id	ei[keV]	xi[cm]	yi[cm]	zi[cm]	xdi[cm]	ydi[cm]	zdi[cm]
168	2.459059000e+03	-3.436400000e-01	-1.917600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
169	1.887919000e+03	-2.762500000e-01	-5.041700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
170	5.274342000e+03	-4.452700000e-01	-2.246100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
171	3.250454000e+03	-6.114600000e-01	-3.698500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
172	8.289049000e+03	-7.402800000e-01	-1.303900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
173	6.268122000e+03	-1.380100000e-01	-3.736000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
174	7.939243000e+03	1.549400000e-01	-4.797000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
175	5.860919000e+03	2.666200000e-01	2.222800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
176	1.400543000e+03	-9.046600000e-01	-2.901800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
177	6.408982000e+03	-8.313400000e-01	1.675000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
178	3.918268000e+03	8.751500000e-01	3.929200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
179	5.011869000e+03	3.187600000e-01	3.678000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
180	3.850659000e+03	-6.943700000e-01	1.821000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
181	6.964646000e+03	8.590500000e-01	-2.159000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
182	6.137719000e+03	-5.088700000e-01	5.876100000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
